id,order,infraorder,superfamily,family,subfamily,tribe,genus,species,morphospecies
CCCP00115,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Tachyporinae,,,,col135
CCCP00116,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Bruchinae,,,,col162
CCCP00117,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Bruchinae,,,,col313
CCCP00119,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,,,,,col027
CCCP00120,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Platypodinae,,,,col229
CCCP00121,Coleoptera,Cucujiformia,Cleroidea,Trogossitidae,,,,,col093
CCCP00125,Coleoptera,Cucujiformia,Coccinelloidea,Latridiidae,,Corticariini,,,col001
CCCP00129,Coleoptera,Bostrichiformia,Bombycoidea,,,,,,
CCCP00132,Coleoptera,Staphyliniformia,Staphylinoidea,Leiodidae,Leiodinae,Agathidiini,,,col062
CCCP00133,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,,Alticini,,,col197
CCCP00147,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Scolytinae,,,,col223
CCCP00148,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Conoderinae,,,,col204
CCCP00163,Coleoptera,Cucujiformia,Tenebrionoidea,Salpingidae,Salpinginae,,,,col060
CCCP00169,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,,Alticini,,,col161
CCCP00194,Coleoptera,Bostrichiformia,Bostrichoidea,Anobiidae,,,,,col109
CCCP00207,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Scydmaeninae,,,,col095
CCCP00210,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Aleocharinae,,,,col013
CCCP00211,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Scolytinae,,,,col031
CCCP00213,Coleoptera,Elateriformia,Elateroidea,Elateridae,,,,,col007
CCCP00215,Coleoptera,Cucujiformia,Cucujoidea,Laemophloeidae,,,,,col156
CCCP00253,Coleoptera,Cucujiformia,Coccinelloidea,Corylophidae,,,,,col070
CCCP00257,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Scydmaeninae,,,,col005
CCCP00269,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Curculioninae,,,,col015
CCCP00272,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,,,,,
CCCP00280,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,,,,,
CCCP00281,Coleoptera,Cucujiformia,Coccinelloidea,Corylophidae,,,,,col130
CCCP00286,Coleoptera,Cucujiformia,Chrysomeloidea,Cerambycidae,Lamiinae,,,,col166
CCCP00292,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Scydmaeninae,,,,col205
CCCP00307,Coleoptera,Cucujiformia,Tenebrionoidea,Tenebrionidae,,,,,
CCCP00308,Coleoptera,Cucujiformia,Curculionoidea,Brentidae,Apioninae,,,,col304
CCCP00309,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,,,,,col370
CCCP00310,Coleoptera,Cucujiformia,Tenebrionoidea,Mordellidae,,,,,col269
CCCP00312,Coleoptera,Elateriformia,Elateroidea,Elateridae,,,,,col264
CCCP00320,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Scolytinae,,,,col294
CCCP00323,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,,,,,col332
CCCP00324,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Platypodinae,,,,col295
CCCP00326,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Bruchinae,,,,col306
CCCP00333,Coleoptera,Cucujiformia,Curculionoidea,Brentidae,Apioninae,,,,col303
CCCP00334,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Curculioninae,,,,col354
CCCP00341,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,,,,,
CCCP00351,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,,,,,col333
CCCP00358,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,,,,,col328
CCCP00383,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Entiminae,,,,col053
CCCP00394,Coleoptera,Cucujiformia,Tenebrionoidea,Tenebrionidae,,,,,
CCCP00401,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Curculioninae,Anthonomini,,,col133
KU354434,Araneae,Araneomorphae,Lycosoidea,Pisauridae,,,Dolomedes,Dolomedes angustivirgatus,
MH891570,Araneae,Araneomorphae,,Salticidae,,,Cheliceroides,Cheliceroides longipalpis,
MT862414,Araneae,Araneomorphae,Lycosoidea,Pisauridae,,,Pisaura,Pisaura mirabilis,
EU854321,Blattodea,,Blaberoidea,Ectobiidae,Blattellinae,,Blattela,Blattella germanica,
KT893459,Blattodea,,Blaberoidea,Blaberidae,Blaberinae,,Blaptica,Blaptica dubia,
KX640825,Blattodea,,Blattoidea,Blattidae,Blattinae,,Periplaneta,Periplaneta australasiae,
HQ232800,Coleoptera,Staphyliniformia,Staphylinoidea,Hydraenidae,,,,Hydraena sp. BMNH 840125,
MH155200,Collembola,Neelipleona,,Neelidae,,,Neelus,Neelus murinus,
MW208844,Collembola,Poduromorpha,Poduroidea,Neanuridae,Neanurinae,Lobellini,Yuukianura,Yuukianura szeptyckii,
NC_032283,Collembola,Entomobryomorpha,Entomobryoidea,Orchesellidae,Orchesellinae,,Orchesella,Orchesella cincta,
KT174472,Diptera,Muscomorpha,Ephydroidea,Drosophilidae,,,Drosophila,Drosophila melanogaster,
MK575474,Diptera,,Culicoidea,Culicidae,Culicinae,Aedini,Aedes,Aedes aegypti,
MT043309,Diptera,Muscomorpha,Asiloidea,Bombyliidae,Anthracinae,Exoprosopini,Hemipenthes,Hemipenthes neimengguensis,
JF927830,Hemiptera,Cimicomorpha,,Nabidae,Nabinae,,Gorpis,Gorpis humeralis,
MG989236,Hemiptera,,Psylloidea,Psyllidae,Aphalaroidinae,,Russelliana,Russelliana solanicola,
MN910279,Hemiptera,,Membracoidea,Cicadellidae,Typhlocybinae,Typhlocybini,Eupteryx,Eupteryx minuscula,
FJ810212,Lepidoptera,,Papilionoidea,Papilionidae,Papilioninae,,Papilio,Papilio maraho,
KY620270,Lepidoptera,,Bombycoidea,Bombycidae,Bombycinae,,Bombyx,Bombyx lemeepauli,
NC_036738,Lepidoptera,,Noctuoidea,Lymantriidae,,,Gynaephora,Gynaephora jiuzhiensis,
HQ232801,Coleoptera,,Hydrophiloidea,Hydrochidae,,,,Hydrochus sp. BMNH 840193,
HQ232806,Coleoptera,Cucujiformia,Tenebrionoidea,Scraptiidae,,,,Anaspis sp. BMNH 840206,
HQ232820,Coleoptera,Cucujiformia,Lymexyloidea,Lymexylidae,,,,Hylecoetus dermestoides,
HQ232822,Coleoptera,Cucujiformia,Cucujoidea,Erotylidae,,,,Tritoma bipustulata,
HQ232825,Coleoptera,Cucujiformia,Tenebrionoidea,Anthicidae,,,,Omonadus floralis,
JN163945,Coleoptera,Cucujiformia,Curculionoidea,Attelabidae,Rhynchitinae,,,Deporaus betulae,
JN163955,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Baridinae,,,Melanobaris laticollis,
JN163956,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Ceutorhynchinae,,,Ceutorhynchus obstrictus,
JN163960,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Cossoninae,,,Brachytemnus porcatus,
JN163966,Coleoptera,Cucujiformia,Curculionoidea,Attelabidae,Apoderinae,,,Apoderus coryli,
JN163967,Coleoptera,Cucujiformia,Curculionoidea,Brentidae,Apioninae,,,Rhopalapion longirostre,
JX220989,Coleoptera,Cucujiformia,Chrysomeloidea,Cerambycidae,Necydalinae,,,Necydalis ulmi,
JX313673,Coleoptera,,Scarabaeoidea,Glaphyridae,,,,Glaphyrus comosus,
JX313677,Coleoptera,,Haliploidea,Haliplidae,,,,Haliplus flavicollis,
JX313681,Coleoptera,Cucujiformia,Coccinelloidea,Latridiidae,,,Enicmus,Enicmus brevicornis,
JX313683,Coleoptera,Bostrichiformia,Bostrichoidea,Dermestidae,,,,Dermestes peruvianus,
JX313687,Coleoptera,Cucujiformia,Cucujoidea,Silvanidae,Silvaninae,,,Silvanus unidentatus,
JX412726,Coleoptera,,Hydrophiloidea,Hydrophilidae,Hydrophilinae,,,Amphiops globus,
JX412727,Coleoptera,Elateriformia,Byrrhoidea,Ptilodactylidae,,,,Ptilodactyla sp. PTY01,
JX412734,Coleoptera,,Scarabaeoidea,Trogidae,,,,Trox sp. TRO01,
JX412737,Coleoptera,Elateriformia,Elateroidea,Elateridae,Elaterinae,,,Agriotes ustulatus,
JX412745,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Scaphidiinae,,,Brachynopus latus,
JX412750,Coleoptera,Elateriformia,Elateroidea,Phengodidae,Rhagophthalminae,,,Rhagophthalminae sp. GENSP01,
JX412761,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Scydmaeninae,,,Scydmaeninae sp. 840218,
JX412767,Coleoptera,Cucujiformia,Coccinelloidea,Coccinellidae,Coccidulinae,,,Coccidula rufa,
JX412776,Coleoptera,Cucujiformia,Lymexyloidea,Lymyxelidae,,,,Melittomma sp. MEL01,
JX412778,Coleoptera,Cucujiformia,Cucujoidea,Nitidulidae,Cryptarchinae,,,Glischrochilus hortensis,
JX412780,Coleoptera,Cucujiformia,Tenebrionoidea,Tenebrionidae,Stenochiinae,,,Strongylium suspicax,
JX412784,Coleoptera,Cucujiformia,Cucujoidea,Erotylidae,,,Loberonotha,Loberonotha olivascens,
JX412798,Coleoptera,Cucujiformia,Tenebrionoidea,Scraptiidae,,,,Scraptia sp. SCR03,
JX412803,Coleoptera,Cucujiformia,Cucujoidea,Sphindidae,,,,Sphindus dubius,
JX412811,Coleoptera,Cucujiformia,Tenebrionoidea,Mycteridae,,,,Stilpnonotus mexicanus,
JX412819,Coleoptera,,Scarabaeoidea,Glaresidae,,,,Glaresis sp. GLA01,
JX412824,Coleoptera,,Caraboidea,Carabidae,Cicindelinae,,,Habrodera capensis,
JX412836,Coleoptera,,Scarabaeoidea,Passalidae,,,,Passalidae sp. GENSP01,
JX412837,Coleoptera,Bostrichiformia,Bostrichoidea,Dermestidae,,,,Attagenus hottentotus,
JX412838,Coleoptera,,Scarabaeoidea,Geotrupidae,,,,Anoplotrupes stercorosus,
JX412843,Coleoptera,Cucujiformia,Coccinelloidea,Corylophidae,,,,Gloeosoma sp. GLO01,
JX412850,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Scolytinae,,,Xyleborus perforans,
JX412852,Coleoptera,Cucujiformia,Tenebrionoidea,Mycteridae,,,,Hemipeplus sp. HEM01,
JX412859,Coleoptera,Cucujiformia,Tenebrionoidea,Anthribidae,Urodontinae,,,Urodontus glabratus,
KJ778881,Coleoptera,Cucujiformia,Coccinelloidea,Coccinellidae,Coccinellinae,,,Coleomegilla maculata,
KM586245,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Pselaphinae,,,Euplectus karstenii,
KM923891,Coleoptera,Elateriformia,Elateroidea,Phengodidae,Phengodinae,,,Phrixothrix hirtus,
KP987576,Coleoptera,,Scarabaeoidea,Lucanidae,Lucaninae,,,Nigidionus parryi,
KT070712,Coleoptera,Cucujiformia,Cucujoidea,Laemophloeidae,,,,Cryptolestes turcicus,
KT696258,Coleoptera,Staphyliniformia,Staphylinoidea,Ptiliidae,,,,Ptiliidae sp. BMNH 1274724,
KT696272,Coleoptera,Staphyliniformia,Staphylinoidea,Leiodidae,,,,Leiodidae sp. BMNH 1274772,
KT780625,Coleoptera,,Sphaeriusoidea,Sphindidae,,,,Aspidiphorus orbiculatus,
KT780629,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Aleocharinae,,,Atheta gagatina,
KT780637,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Oxytelinae,,,Carpelimus bilineatus,
KT780644,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Pselaphinae,,,Diartiger fossulatus,
KT780650,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Staphylininae,,,Gyrohypnus fracticornis,
KT780658,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Paederinae,,,Medon apicalis,
KT780661,Coleoptera,Staphyliniformia,Staphylinoidea,Leiodidae,Cholevinae,,,Nargus velox,
KT876887,Coleoptera,,Scarabaeoidea,Lucanidae,Lucaninae,,,Dorcus parallelipipedus,
KT876888,Coleoptera,Elateriformia,Byrrhoidea,Dryopidae,,,,Dryops luridus,
KT876890,Coleoptera,,Haliploidea,Haliplidae,,,,Haliplus lineatocollis,
KT876893,Coleoptera,,Dytiscoidea,Dytiscidae,Hydroporinae,,,Hydroporus planus,
KT876896,Coleoptera,,Dytiscoidea,Dytiscidae,Hydroporinae,,,Hydroporus obscurus,
KT876904,Coleoptera,Elateriformia,Elateroidea,Elateridae,Melanotinae,,,Melanotus villosus,
KU302777,Coleoptera,Staphyliniformia,Staphylinoidea,Ptiliidae,,,,Scydosella musawasensis,
KU739483,Coleoptera,,Scarabaeoidea,Scarabaeidae,Scarabaeinae,,,Onthophagus diabolicus,
KU739494,Coleoptera,,Scarabaeoidea,Scarabaeidae,Scarabaeinae,,,Eurysternus caribaeus,
KX035131,Coleoptera,,Staphylinoidea,Hydraenidae,,,,Meropathus sp. BMNH 675618,
KX035152,Coleoptera,Bostrichiformia,Bostrichoidea,Nosodendridae,,,,Nosodendron sp. BMNH 840466,
KX035226,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Scolytinae,,,Tomicus piniperda,
KX087239,Coleoptera,Bostrichiformia,Bostrichoidea,Dermestidae,,,,Anthrenus verbasci,
KX087240,Coleoptera,,Scarabaeoidea,Scarabaeidae,Aphodiinae,,,Aphodius foetens,
KX087241,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Cryptorhynchinae,,,Arachnobas tricolor,
KX087246,Coleoptera,Cucujiformia,Chrysomeloidea,Cerambycidae,Lepturinae,,,Brachyta interrogationis,
KX087247,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Curculioninae,,,Bradybatus kellneri,
KX087248,Coleoptera,,Caraboidea,Carabidae,Harpalinae,,,Bradycellus ruficollis,
KX087251,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Galerucinae,,,Calomicrus pinicola,
KX087255,Coleoptera,,Hydrophiloidea,Hydrophilidae,Sphaeridiinae,,,Cercyon borealis,
KX087259,Coleoptera,Cucujiformia,Tenebrionoidea,Ciidae,Ciinae,,,Cis micans,
KX087269,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Curculioninae,,,Curculio elephas,
KX087279,Coleoptera,Cucujiformia,Tenebrionoidea,Scraptiidae,,,,Cyrtanaspis phalerata,
KX087280,Coleoptera,Cucujiformia,Curculionoidea,Attelabidae,Rhynchitinae,,,Deporaus tristis,
KX087281,Coleoptera,Cucujiformia,Tenebrionoidea,Tenebrionidae,,,,Diaclina fagi,
KX087283,Coleoptera,Elateriformia,Elateroidea,Elateridae,Cardiophorinae,,,Dicronychus cinereus,
KX087288,Coleoptera,Elateriformia,Scirtoidea,Scirtidae,,,,Elodes minuta,
KX087289,Coleoptera,Cucujiformia,Cucujoidea,Nitidulidae,Carpophilinae,,,Epuraea guttata,
KX087292,Coleoptera,Bostrichiformia,Bostrichoidea,Anobiidae,Anobiinae,,,Gastrallus laevigatus,
KX087295,Coleoptera,,Haliploidea,Haliplidae,,,,Haliplus sibiricus,
KX087303,Coleoptera,Bostrichiformia,Bostrichoidea,Anobiidae,Xyletininae,,,Lasioderma redtenbacheri,
KX087304,Coleoptera,,Caraboidea,Carabidae,Harpalinae,,,Lebia chlorocephala,
KX087311,Coleoptera,Cucujiformia,Lymexyloidea,Lymexylidae,,,,Lymexylon navale,
KX087316,Coleoptera,,Scarabaeoidea,Scarabaeidae,Melolonthinae,,,Melolontha hippocastani,
KX087318,Coleoptera,Cucujiformia,Tenebrionoidea,Mordellidae,,,,Mordellochroa milleri,
KX087322,Coleoptera,Bostrichiformia,Bostrichoidea,Nosodendridae,,,,Nosodendron fasciculare,
KX087323,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Staphylininae,,,Ocypus ophthalmicus,
KX087326,Coleoptera,Cucujiformia,Tenebrionoidea,Ciidae,Ciinae,,,Orthocis pygmaeus,
KX087337,Coleoptera,Cucujiformia,Tenebrionoidea,Anthribidae,Anthribinae,,,Platystomos albinus,
KX087341,Coleoptera,Cucujiformia,Tenebrionoidea,Tenebrionidae,Diaperinae,,,Scaphidema metallicum,
KX087343,Coleoptera,Elateriformia,Scirtoidea,Scirtidae,,,,Scirtes orbicularis,
KX087344,Coleoptera,Elateriformia,Elateroidea,Elateridae,Elaterinae,,,Sericus brunneus,
KX087350,Coleoptera,Cucujiformia,Tenebrionoidea,Anthicidae,,,,Stricticollis tobias,
KX087351,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Tachyporinae,,,Tachinus subterraneus,
KX132085,Coleoptera,Cucujiformia,Coccinelloidea,Coccinellidae,Coccinellinae,,,Calvia championorum,
KX641891,Coleoptera,Cucujiformia,Cucujoidea,Silvanidae,Silvaninae,,,Oryzaephilus surinamensis,
KX711704,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Platypodinae,,,Euplatypus parallelus,
KX943365,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Galerucinae,,,Aphthona melancholica,
KX943381,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Eumolpinae,,,Colaspidea globosa,
KX943428,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Cryptocephalinae,,,Stylosomus rugithorax,
KX943468,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Cassidinae,,,Cassida viridis,
KX943509,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Cryptocephalinae,,,Cryptocephalus ramburii,
KY039104,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Eumolpinae,,,Colasposoma dauricum,
KY773692,Coleoptera,Cucujiformia,Chrysomeloidea,Cerambycidae,Lamiinae,,,Agapanthia daurica,
MF497817,Coleoptera,,Caraboidea,Carabidae,Paussinae,,,Metrius contractus,
MF946622,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Galerucinae,,,Oides maculatus,
MF960096,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Galerucinae,,,Gallerucida bifasciata,
MF960107,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Galerucinae,,,Epitrix abeillei,
MF960113,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Galerucinae,,,Bikasha collaris,
MF960117,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Galerucinae,,,Novofoudrasia regularis,
MF960119,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Galerucinae,,,Hespera cyanea,
MF979917,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Galerucinae,,,Agetocera mirabilis,
MG021083,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Galerucinae,,,Macrohaltica subplicata,
MG193386,Coleoptera,Bostrichiformia,Bostrichoidea,,,,,Bostrichoidea sp. 7 KM-2017,
MG193400,Coleoptera,Bostrichiformia,Bostrichoidea,,,,,Bostrichoidea sp. 3 KM-2017,
MG193482,Coleoptera,Cucujiformia,Chrysomeloidea,Cerambycidae,,,,Cerambycidae sp. 1 KM-2017,
MG193487,Coleoptera,Bostrichiformia,Bostrichoidea,,,,,Bostrichoidea sp. 2 KM-2017,
MG193530,Coleoptera,Cucujiformia,Coccinelloidea,Latridiidae,,,,Latridiidae sp. 1 KM-2017,
MG253256,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Curculioninae,,,Anthonomus grandis,
MG728095,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Curculioninae,,,Curculio sp. SZ-2019,
MH404103,Coleoptera,Cucujiformia,Tenebrionoidea,Anthribidae,,,,Anthribidae sp. 1 CG336,
MH404110,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Conoderinae,,,Peltophorus sp. CG295,
MH404113,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Curculioninae,,,Melanterius sp. CG257,
MH404131,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Cossoninae,,,Cossoninae sp. 1 CG319,
MH404134,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Coptonotinae,,,Coptonotus cyclopus,
MH404140,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Cossoninae,,,Pentarthrum elumbe,
MH789722,Coleoptera,Cucujiformia,Tenebrionoidea,Anthicidae,,,,Anthicidae sp. 1 ACP-2013,
MH814932,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Entiminae,,,Sitona obsoletus,
MH836601,Coleoptera,Cucujiformia,Cucujoidea,Erotylidae,,,,Erotylinae sp. 4 ACP-2013,
MH836605,Coleoptera,Elateriformia,Byrrhoidea,Ptilodactylidae,,,,Ptilodactylidae sp. 2 ACP-2013,
MH908171,Coleoptera,Cucujiformia,Cleroidea,Cleridae,,,,Tarsosteninae sp. ACP-2013,
MT862405,Coleoptera,,Scarabaeoidea,Lucanidae,Syndesinae,,Sinodendron,Sinodendron cylindricum,
NC_003081,Coleoptera,Cucujiformia,Tenebrionoidea,Tenebrionidae,,,,Tribolium castaneum,
NC_010969,Coleoptera,Elateriformia,Elateroidea,Phengodidae,Rhagophthalminae,,,Rhagophthalmus lufengensis,
NC_011322,Coleoptera,,Sphaeriusoidea,Sphaeriusidae,,,,Sphaerius sp. BT0074,
NC_013576,Coleoptera,Elateriformia,Elateroidea,Cantharidae,Chauliognathinae,,,Chauliognathus opacus,
NC_013578,Coleoptera,,Scarabaeoidea,Lucanidae,Lucaninae,,,Lucanus mazama,
NC_022935,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Galerucinae,,,Diabrotica barberi,
NC_026719,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Cryptorhynchinae,,,Eucryptorrhynchus scrobiculatus,
NC_027256,Coleoptera,Cucujiformia,Tenebrionoidea,Tenebrionidae,Pimeliinae,,,Asbolus verrucosus,
NC_027577,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Cyclominae,,,Aegorhinus superciliosus,
NC_028204,Coleoptera,Cucujiformia,Cucujoidea,Laemophloeidae,,,Cryptolestes,Cryptolestes pusillus,
NC_028535,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Dryophthorinae,,,Rhynchophorus ferrugineus,
NC_028604,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Aleocharinae,,,Myrmecocephalus concinnus,
NC_028605,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Omaliinae,,,Olophrum piceum,
NC_028607,Coleoptera,Staphyliniformia,Staphylinoidea,Leiodidae,Cholevinae,,,Phacomorphus fratyi,
NC_028609,Coleoptera,Staphyliniformia,Staphylinoidea,Staphylinidae,Scaphidiinae,,,Scaphidium quadrimaculatum,
NC_028612,Coleoptera,,Hydrophiloidea,Hydrophilidae,Sphaeridiinae,,,Sphaeridium bipustulatum,
NC_029192,Coleoptera,Cucujiformia,Tenebrionoidea,Meloidae,,,,Epicauta chinensis,
NC_033339,Coleoptera,Cucujiformia,Tenebrionoidea,Meloidae,,,,Lytta caraganae,
NC_033340,Coleoptera,Cucujiformia,Cleroidea,Cleridae,,,,Trichodes sinae,
NC_033872,Coleoptera,Cucujiformia,Chrysomeloidea,Cerambycidae,Lamiinae,,,Apriona swainsoni,
NC_035677,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Bruchinae,,,Acanthoscelides obtectus,
NC_036045,Coleoptera,Cucujiformia,Tenebrionoidea,Meloidae,,,Hycleus,Hycleus phaleratus,
NC_036104,Coleoptera,Cucujiformia,Cucujoidea,Nitidulidae,Nitidulinae,,,Aethina tumida,
NC_036268,Coleoptera,,Caraboidea,Carabidae,Harpalinae,,,Amara communis,
NC_036270,Coleoptera,,Hydrophiloidea,Hydrochidae,,,Hydrochus,Hydrochus carinatus,
NC_036274,Coleoptera,Cucujiformia,Tenebrionoidea,Salpingidae,,,,Vincenzellus ruficollis,
NC_036277,Coleoptera,Cucujiformia,Tenebrionoidea,Ripiphoridae,,,,Pelecotoma fennica,
NC_036294,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Scolytinae,,,Gnathotrichus materiarius,
NC_036507,Coleoptera,,Caraboidea,Carabidae,,,,Carabus lafossei,
